1 - min(mdcv$evaluation_log$val_merror),booster,objective,max_depth,eta,subsample,colsample_bytree,min_child_weight,gamma,alpha,lambda
0.837398,gbtree,multi:softmax,6,0.21546276295091957,0.9173937933519483,0.8477341319434345,2,66,64.81345074716955,44.951249565929174
0.837398,gbtree,multi:softmax,6,0.08472130780108272,0.9923541806871071,0.6651463907212019,2,0,21.014026645570993,61.58073379192501
0.837398,gbtree,multi:softmax,10,0.1754178989143111,0.9390770917059854,0.7507233068346977,7,99,29.11744078155607,45.94572586938739
0.837398,gbtree,multi:softmax,3,0.2791043974971399,0.7689322505379095,0.8580077803693711,5,58,88.89423024374992,10.193231026642025
0.837398,gbtree,multi:softmax,6,0.1549525079014711,0.8626988765317947,0.7534407820552588,4,38,18.500274163670838,30.73645760305226
0.837398,gbtree,multi:softmax,4,0.063938826618250455,0.8843565901741386,0.603336014226079,6,82,39.5317355170846,60.71798074990511
0.837398,gbtree,multi:softmax,5,0.019390411269851027,0.7132854056544602,0.9139062580652535,8,51,45.13177112676203,96.8963208142668
0.837398,gbtree,multi:softmax,6,0.11919413726776837,0.9058540146565065,0.7787206037901342,10,32,32.371041271835566,84.13287114817649
0.837398,gbtree,multi:softmax,5,0.24974006948526947,0.7583318853750824,0.8973290198482573,2,29,74.50665589421988,8.76328507438302
0.837398,gbtree,multi:softmax,7,0.2808090257504955,0.8044363083085044,0.9894329218193889,1,50,61.71935854945332,30.192967783659697
0.837398,gbtree,multi:softmax,9,0.06347214034525676,0.75025310437195,0.9042904532514513,8,9,47.627721074968576,9.032847336493433
0.837398,gbtree,multi:softmax,4,0.011671710875816643,0.8553214041283355,0.7389818611554801,4,59,0.40783234871923923,91.3145549595356
0.837398,gbtree,multi:softmax,7,0.2501828606566414,0.7035055929096415,0.7832426476292312,6,34,70.98785249982029,36.06696508359164
0.837398,gbtree,multi:softmax,4,0.2591201017145067,0.7163000278873368,0.8106108988635242,5,64,68.29098158050328,5.843015294522047
0.837398,gbtree,multi:softmax,7,0.027583671614993366,0.8526170314056798,0.8887983971275388,0,63,28.5052397986874,57.52728101797402
0.837398,gbtree,multi:softmax,9,0.11927556948270647,0.983320944197476,0.944897111877799,2,35,27.546153962612152,45.69048702251166
0.837398,gbtree,multi:softmax,8,0.037935931487008925,0.8399817225988955,0.9975947573781013,10,21,97.39694488234818,18.064327025786042
0.837398,gbtree,multi:softmax,3,0.24545545525616033,0.7423329843441024,0.9107920771464706,8,26,74.72698378842324,67.3707224894315
0.837398,gbtree,multi:softmax,5,0.13370857628528027,0.9599212934495881,0.7817384135909379,1,52,0.05645523779094219,7.510207663290203
0.837398,gbtree,multi:softmax,3,0.0469750712858513,0.9755499476566911,0.8892498292028903,9,76,41.44111352507025,60.970466351136565
0.837398,gbtree,multi:softmax,5,0.2438066390925087,0.835371338063851,0.6284920496866107,1,86,15.792096918448806,29.0927164722234
0.837398,gbtree,multi:softmax,10,0.09718905937392264,0.788784280885011,0.8233457384631038,1,25,5.887181055732071,93.12896577175707
0.837398,gbtree,multi:softmax,10,0.2798711035796441,0.9677010504063219,0.7719083953648805,0,75,84.54028717242181,35.661408537998796
0.837398,gbtree,multi:softmax,5,0.05468801775248721,0.7202025719452649,0.7099319294095039,1,60,86.75529339816421,72.75187850464135
0.837398,gbtree,multi:softmax,7,0.18227880464633928,0.873466383269988,0.9465922118164599,8,8,38.83270875085145,84.84527685213834
0.837398,gbtree,multi:softmax,6,0.0789752078289166,0.734851544490084,0.7620300597511231,5,14,54.75195501931012,6.901377998292446
0.837398,gbtree,multi:softmax,4,0.09324217624729499,0.7896638371516018,0.7826567714102566,2,20,44.33440840803087,70.54629714693874
0.837398,gbtree,multi:softmax,6,0.22727337323362007,0.9565166330430657,0.7079879734665155,10,53,47.16835969593376,63.81430008914322
0.837398,gbtree,multi:softmax,6,0.10927383801434187,0.7680138137657195,0.6666378812864423,6,58,71.16824162658304,79.81554409489036
0.837398,gbtree,multi:softmax,8,0.28142464966280384,0.859784551593475,0.9496608888730407,8,39,98.46178069710732,20.447256369516253
0.837398,gbtree,multi:softmax,6,0.13589035850716755,0.9706847861642018,0.9696410147473216,2,42,39.7368494188413,55.46453788410872
